Executable,Threads,Run,Execution Time (s),Average Time (s)
barrier_mutex_cond,2,1,0.10451,
barrier_mutex_cond,2,2,0.10687,
barrier_mutex_cond,2,3,0.10676,
barrier_mutex_cond,2,4,0.10674,
barrier_mutex_cond,2,5,0.10668,
barrier_mutex_cond,2,Average,,0.10631
barrier_mutex_cond,4,1,0.10710,
barrier_mutex_cond,4,2,0.10716,
barrier_mutex_cond,4,3,0.10698,
barrier_mutex_cond,4,4,0.10707,
barrier_mutex_cond,4,5,0.10704,
barrier_mutex_cond,4,Average,,0.10707
barrier_mutex_cond,8,1,0.10760,
barrier_mutex_cond,8,2,0.10711,
barrier_mutex_cond,8,3,0.10761,
barrier_mutex_cond,8,4,0.10781,
barrier_mutex_cond,8,5,0.10764,
barrier_mutex_cond,8,Average,,0.10755
barrier_mutex_cond,16,1,0.10962,
barrier_mutex_cond,16,2,0.10923,
barrier_mutex_cond,16,3,0.10995,
barrier_mutex_cond,16,4,0.10852,
barrier_mutex_cond,16,5,0.10908,
barrier_mutex_cond,16,Average,,0.10928
barrier_pthread,2,1,0.10609,
barrier_pthread,2,2,0.10624,
barrier_pthread,2,3,0.10696,
barrier_pthread,2,4,0.10708,
barrier_pthread,2,5,0.10697,
barrier_pthread,2,Average,,0.10667
barrier_pthread,4,1,0.10643,
barrier_pthread,4,2,0.10734,
barrier_pthread,4,3,0.10590,
barrier_pthread,4,4,0.10690,
barrier_pthread,4,5,0.10648,
barrier_pthread,4,Average,,0.10661
barrier_pthread,8,1,0.10803,
barrier_pthread,8,2,0.10759,
barrier_pthread,8,3,0.10760,
barrier_pthread,8,4,0.10766,
barrier_pthread,8,5,0.10806,
barrier_pthread,8,Average,,0.10779
barrier_pthread,16,1,0.11001,
barrier_pthread,16,2,0.10923,
barrier_pthread,16,3,0.10955,
barrier_pthread,16,4,0.10941,
barrier_pthread,16,5,0.10862,
barrier_pthread,16,Average,,0.10936
barrier_sense_reversal,2,1,0.10604,
barrier_sense_reversal,2,2,0.10680,
barrier_sense_reversal,2,3,0.10674,
barrier_sense_reversal,2,4,0.10658,
barrier_sense_reversal,2,5,0.10660,
barrier_sense_reversal,2,Average,,0.10655
barrier_sense_reversal,4,1,0.10700,
barrier_sense_reversal,4,2,0.10714,
barrier_sense_reversal,4,3,0.10700,
barrier_sense_reversal,4,4,0.10635,
barrier_sense_reversal,4,5,0.10692,
barrier_sense_reversal,4,Average,,0.10688
barrier_sense_reversal,8,1,0.19522,
barrier_sense_reversal,8,2,0.20414,
barrier_sense_reversal,8,3,0.19962,
barrier_sense_reversal,8,4,0.19987,
barrier_sense_reversal,8,5,0.16773,
barrier_sense_reversal,8,Average,,0.19332
barrier_sense_reversal,16,1,0.26345,
barrier_sense_reversal,16,2,0.29606,
barrier_sense_reversal,16,3,0.28391,
barrier_sense_reversal,16,4,0.28374,
barrier_sense_reversal,16,5,0.29937,
barrier_sense_reversal,16,Average,,0.28530
