priority_mode,num_threads,member_percent,average_elapsed_time
read,2,0.999,0.647327
read,2,0.95,37.630508
read,2,0.9,79.809146
read,4,0.999,1.661587
read,4,0.95,34.566996
read,4,0.9,74.852924
read,8,0.999,2.381823
read,8,0.95,33.725698
read,8,0.9,76.305714
read,16,0.999,5.875423
read,16,0.95,43.584850
read,16,0.9,104.584920
write,2,0.999,0.588053
write,2,0.95,16.293072
write,2,0.9,42.948212
write,4,0.999,0.407048
write,4,0.95,12.971296
write,4,0.9,32.787328
write,8,0.999,0.401771
write,8,0.95,13.779318
write,8,0.9,32.049058
write,16,0.999,0.499422
write,16,0.95,19.234986
write,16,0.9,41.829196
