Grid Size,Processes,Generations,Run,Execution Time (s),Average Time (s)
64x64,2,1000,1,46.01684,
64x64,2,1000,2,43.33590,
64x64,2,1000,3,43.53807,
64x64,2,1000,4,44.10552,
64x64,2,1000,5,44.74884,
64x64,2,1000,Average,,44.34903
64x64,4,1000,1,66.18919,
64x64,4,1000,2,66.61248,
64x64,4,1000,3,65.28735,
64x64,4,1000,4,68.14201,
64x64,4,1000,5,67.00614,
64x64,4,1000,Average,,66.64744
64x64,8,1000,1,71.51185,
64x64,8,1000,2,72.27997,
64x64,8,1000,3,69.15376,
64x64,8,1000,4,73.22741,
64x64,8,1000,5,70.61969,
64x64,8,1000,Average,,71.35853
64x64,16,1000,1,73.10085,
64x64,16,1000,2,51.50368,
64x64,16,1000,3,50.98328,
64x64,16,1000,4,53.89148,
64x64,16,1000,5,51.67106,
64x64,16,1000,Average,,56.23007
1024x1024,2,1000,1,559.60188,
1024x1024,2,1000,2,558.28242,
1024x1024,2,1000,3,562.88319,
1024x1024,2,1000,4,557.84075,
1024x1024,2,1000,5,559.71768,
1024x1024,2,1000,Average,,559.66518
1024x1024,4,1000,1,579.91237,
1024x1024,4,1000,2,611.31149,
1024x1024,4,1000,3,808.69801,
1024x1024,4,1000,4,582.97889,
1024x1024,4,1000,5,583.21773,
1024x1024,4,1000,Average,,633.22370
1024x1024,8,1000,1,317.03122,
1024x1024,8,1000,2,311.00884,
1024x1024,8,1000,3,314.47276,
1024x1024,8,1000,4,312.66155,
1024x1024,8,1000,5,370.02642,
1024x1024,8,1000,Average,,325.04016
1024x1024,16,1000,1,264.83494,
1024x1024,16,1000,2,208.34943,
1024x1024,16,1000,3,214.44532,
1024x1024,16,1000,4,182.53544,
1024x1024,16,1000,5,263.46075,
1024x1024,16,1000,Average,,226.72518
